国名（日本語）,code3,輸出1位_品目,輸出2位_品目,輸出3位_品目,輸出4位_品目,輸出5位_品目,輸出6位_品目,輸出7位_品目,輸出8位_品目,輸出9位_品目,輸出10位_品目,輸入1位_品目,輸入2位_品目,輸入3位_品目,輸入4位_品目,輸入5位_品目,輸入6位_品目,輸入7位_品目,輸入8位_品目,輸入9位_品目,輸入10位_品目,貿易相手1位_国名,貿易相手1位_シェア%,貿易相手2位_国名,貿易相手2位_シェア%,貿易相手3位_国名,貿易相手3位_シェア%,貿易相手4位_国名,貿易相手4位_シェア%,貿易相手5位_国名,貿易相手5位_シェア%,貿易相手6位_国名,貿易相手6位_シェア%,貿易相手7位_国名,貿易相手7位_シェア%,貿易相手8位_国名,貿易相手8位_シェア%,貿易相手9位_国名,貿易相手9位_シェア%,貿易相手10位_国名,貿易相手10位_シェア%,貿易統計_年,貿易統計_出典
ジンバブエ,ZWE,真珠・貴金属・宝石・装飾品,たばこ・製造たばこ代用品,ニッケル・同製品,鉱石・スラグ・灰,鉄鋼,塩・硫黄・土石類・セメント,鉱物燃料・エネルギー（原油・石炭等）,糖類・砂糖菓子,原料皮・革,果実・ナッツ,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,穀物,自動車・同部品,電気機器・録音機・テレビ等,肥料,プラスチック・同製品,動物性・植物性油脂,鉄鋼製品,鉄鋼,アラブ首長国連邦,40.2%,ジョージア,21.5%,中国,20.3%,ベルギー,3.0%,オランダ,3.0%,"Mozambique, Republic of",2.3%,ザンビア,1.4%,イラン,1.3%,インドネシア,0.7%,アメリカ,0.7%,2024,UN Comtrade / IMF DOTS (2024年)
スペイン,ESP,自動車・同部品,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,鉱物燃料・エネルギー（原油・石炭等）,医薬品,特殊取扱品（その他）,プラスチック・同製品,果実・ナッツ,肉・食用屑,精油・香料・化粧品,鉱物燃料・エネルギー（原油・石炭等）,自動車・同部品,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,医薬品,プラスチック・同製品,特殊取扱品（その他）,光学機器・写真用機器・医療用機器,有機化学品,鉄鋼,フランス,15.0%,ドイツ,10.7%,ポルトガル,9.2%,イタリア,8.7%,イギリス,6.6%,アメリカ,4.4%,オランダ,3.9%,ベルギー,3.4%,モロッコ,3.2%,ポーランド,2.8%,2025,UN Comtrade / IMF DOTS (2025年)
スリナム,SUR,真珠・貴金属・宝石・装飾品,木材・木製品・木炭,一般機械・原子炉・ボイラー等,魚介類・甲殻類,鉱石・スラグ・灰,塩・硫黄・土石類・セメント,穀物,鉱物燃料・エネルギー（原油・石炭等）,飲料・アルコール・酢,たばこ・製造たばこ代用品,一般機械・原子炉・ボイラー等,鉱物燃料・エネルギー（原油・石炭等）,自動車・同部品,電気機器・録音機・テレビ等,鉄鋼製品,プラスチック・同製品,光学機器・写真用機器・医療用機器,各種化学工業生産品,各種調製食料品,ゴム・同製品,シンガポール,46.4%,オーストラリア,37.6%,アラブ首長国連邦,4.3%,アメリカ,2.6%,Trinidad and Tobago,2.4%,Guyana,1.1%,イギリス,0.8%,オランダ,0.7%,Antigua and Barbuda,0.7%,Paraguay,0.5%,2025,UN Comtrade / IMF DOTS (2025年)
スウェーデン,SWE,一般機械・原子炉・ボイラー等,自動車・同部品,電気機器・録音機・テレビ等,医薬品,鉱物燃料・エネルギー（原油・石炭等）,紙・板紙・製品,特殊取扱品（その他）,鉄鋼,プラスチック・同製品,魚介類・甲殻類,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,自動車・同部品,鉱物燃料・エネルギー（原油・石炭等）,特殊取扱品（その他）,医薬品,魚介類・甲殻類,プラスチック・同製品,光学機器・写真用機器・医療用機器,鉄鋼,ドイツ,10.3%,ノルウェー,9.3%,アメリカ,8.3%,デンマーク,7.2%,フィンランド,6.7%,イギリス,5.4%,オランダ,5.0%,ベルギー,4.9%,ポーランド,4.2%,フランス,4.2%,2025,UN Comtrade / IMF DOTS (2025年)
スイス,CHE,真珠・貴金属・宝石・装飾品,医薬品,有機化学品,時計・同部品,一般機械・原子炉・ボイラー等,光学機器・写真用機器・医療用機器,電気機器・録音機・テレビ等,プラスチック・同製品,鉱物燃料・エネルギー（原油・石炭等）,精油・香料・化粧品,真珠・貴金属・宝石・装飾品,医薬品,一般機械・原子炉・ボイラー等,自動車・同部品,電気機器・録音機・テレビ等,鉱物燃料・エネルギー（原油・石炭等）,光学機器・写真用機器・医療用機器,有機化学品,プラスチック・同製品,家具・寝具・照明器具・プレハブ建築,アメリカ,22.6%,ドイツ,11.0%,イギリス,8.9%,中国,6.7%,フランス,6.3%,スロベニア,5.6%,イタリア,5.4%,インド,2.9%,トルコ,2.3%,アラブ首長国連邦,2.2%,2025,UN Comtrade / IMF DOTS (2025年)
タイ,THA,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,自動車・同部品,ゴム・同製品,真珠・貴金属・宝石・装飾品,プラスチック・同製品,鉱物燃料・エネルギー（原油・石炭等）,肉・魚介類の調製品,果実・ナッツ,穀物,電気機器・録音機・テレビ等,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,真珠・貴金属・宝石・装飾品,鉄鋼,自動車・同部品,プラスチック・同製品,鉄鋼製品,光学機器・写真用機器・医療用機器,銅・同製品,アメリカ,21.6%,中国,11.8%,日本,7.0%,インド,4.9%,マレーシア,4.0%,ベトナム,3.8%,オーストラリア,3.7%,シンガポール,3.6%,香港,3.3%,インドネシア,2.8%,2024,UN Comtrade / IMF DOTS (2024年)
トーゴ,TGO,塩・硫黄・土石類・セメント,プラスチック・同製品,鉱物燃料・エネルギー（原油・石炭等）,ココア・ココア調製品,自動車・同部品,動物性・植物性油脂,食品工業廃棄物・飼料,綿・綿織物,精油・香料・化粧品,飲料・アルコール・酢,鉱物燃料・エネルギー（原油・石炭等）,自動車・同部品,一般機械・原子炉・ボイラー等,プラスチック・同製品,電気機器・録音機・テレビ等,医薬品,穀物,動物性・植物性油脂,肥料,家具・寝具・照明器具・プレハブ建築,インド,22.2%,Côte d'Ivoire,15.4%,Benin,11.9%,フランス,8.5%,ガーナ,8.3%,ベルギー,7.1%,オランダ,4.5%,Burkina Faso,3.7%,中国,2.4%,ニュージーランド,2.1%,2024,UN Comtrade / IMF DOTS (2024年)
トリニダード・トバゴ,TTO,鉱物燃料・エネルギー（原油・石炭等）,有機化学品,無機化学品・貴金属化合物,鉄鋼,肥料,船舶・浮体構造物,飲料・アルコール・酢,鉄鋼製品,穀物・粉製品・製菓,各種調製食料品,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,自動車・同部品,電気機器・録音機・テレビ等,鉱石・スラグ・灰,船舶・浮体構造物,鉄鋼製品,プラスチック・同製品,各種の卑金属製品,医薬品,アメリカ,34.2%,中国,10.3%,ブラジル,5.7%,Guyana,5.3%,ベルギー,4.2%,オランダ,3.6%,Jamaica,3.4%,フランス,2.8%,スイス,1.9%,ドイツ,1.9%,2024,UN Comtrade / IMF DOTS (2024年)
チュニジア,TUN,電気機器・録音機・テレビ等,衣類・衣類付属品（織物）,動物性・植物性油脂,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,光学機器・写真用機器・医療用機器,プラスチック・同製品,衣類・衣類付属品（編物）,自動車・同部品,履物・ゲートル同製品,鉱物燃料・エネルギー（原油・石炭等）,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,自動車・同部品,プラスチック・同製品,穀物,鉄鋼,医薬品,銅・同製品,綿・綿織物,フランス,25.2%,イタリア,19.0%,ドイツ,17.1%,スペイン,4.8%,Libya,4.3%,アルジェリア,2.9%,アメリカ,2.5%,オランダ,2.2%,ベルギー,2.1%,トルコ,1.6%,2024,UN Comtrade / IMF DOTS (2024年)
トルコ,TUR,自動車・同部品,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,鉱物燃料・エネルギー（原油・石炭等）,真珠・貴金属・宝石・装飾品,プラスチック・同製品,鉄鋼,衣類・衣類付属品（編物）,鉄鋼製品,衣類・衣類付属品（織物）,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,自動車・同部品,電気機器・録音機・テレビ等,真珠・貴金属・宝石・装飾品,鉄鋼,プラスチック・同製品,有機化学品,光学機器・写真用機器・医療用機器,銅・同製品,,,,,,,,,,,,,,,,,,,,,2025,UN Comtrade / IMF DOTS (2025年)
ウガンダ,UGA,真珠・貴金属・宝石・装飾品,コーヒー・茶・スパイス,ココア・ココア調製品,鉱物燃料・エネルギー（原油・石炭等）,鉄鋼,糖類・砂糖菓子,穀粉・でん粉・麦芽,魚介類・甲殻類,飲料・アルコール・酢,食用の野菜・根菜,真珠・貴金属・宝石・装飾品,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,自動車・同部品,プラスチック・同製品,電気機器・録音機・テレビ等,鉄鋼,穀物,動物性・植物性油脂,医薬品,アラブ首長国連邦,36.8%,香港,7.6%,"Congo, Democratic Republic of the",6.5%,イタリア,6.1%,Kenya,5.7%,"South Sudan, Republic of",5.2%,Rwanda,3.6%,ドイツ,3.1%,"Tanzania, United Republic of",2.7%,インド,2.3%,2024,UN Comtrade / IMF DOTS (2024年)
ウクライナ,UKR,穀物,動物性・植物性油脂,採油用種子・果実・藁,鉄鋼,鉱石・スラグ・灰,電気機器・録音機・テレビ等,食品工業廃棄物・飼料,木材・木製品・木炭,肉・食用屑,鉄鋼製品,鉱物燃料・エネルギー（原油・石炭等）,電気機器・録音機・テレビ等,自動車・同部品,一般機械・原子炉・ボイラー等,特殊取扱品（その他）,プラスチック・同製品,医薬品,光学機器・写真用機器・医療用機器,鉄鋼,航空機・宇宙船・同部品,ポーランド,13.1%,トルコ,7.0%,ドイツ,6.0%,イタリア,5.6%,オランダ,4.3%,中国,4.1%,"Egypt, Arab Republic of",3.9%,ルーマニア,3.6%,スペイン,3.4%,ハンガリー,3.1%,2024,UN Comtrade / IMF DOTS (2024年)
北マケドニア,MKD,各種化学工業生産品,電気機器・録音機・テレビ等,家具・寝具・照明器具・プレハブ建築,鉄鋼,一般機械・原子炉・ボイラー等,自動車・同部品,衣類・衣類付属品（織物）,鉱物燃料・エネルギー（原油・石炭等）,鉱石・スラグ・灰,鉄鋼製品,電気機器・録音機・テレビ等,鉱物燃料・エネルギー（原油・石炭等）,真珠・貴金属・宝石・装飾品,一般機械・原子炉・ボイラー等,自動車・同部品,鉄鋼,プラスチック・同製品,セラミック製品,医薬品,無機化学品・貴金属化合物,コソボ,21.1%,ブルガリア,13.7%,セルビア,10.4%,Albania,7.9%,ギリシャ,7.0%,ドイツ,4.3%,トルコ,3.6%,ルーマニア,3.4%,スペイン,3.1%,イタリア,2.8%,2024,UN Comtrade / IMF DOTS (2024年)
エジプト,EGY,真珠・貴金属・宝石・装飾品,鉱物燃料・エネルギー（原油・石炭等）,電気機器・録音機・テレビ等,果実・ナッツ,プラスチック・同製品,肥料,衣類・衣類付属品（織物）,食用の野菜・根菜,鉄鋼,塩・硫黄・土石類・セメント,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,穀物,電気機器・録音機・テレビ等,自動車・同部品,鉄鋼,プラスチック・同製品,医薬品,採油用種子・果実・藁,有機化学品,アラブ首長国連邦,11.4%,イタリア,7.4%,アメリカ,6.4%,トルコ,5.9%,サウジアラビア,5.8%,イギリス,4.5%,スイス,3.1%,Libya,3.1%,ロシア,2.8%,ドイツ,2.7%,2025,UN Comtrade / IMF DOTS (2025年)
イギリス,GBR,一般機械・原子炉・ボイラー等,真珠・貴金属・宝石・装飾品,自動車・同部品,鉱物燃料・エネルギー（原油・石炭等）,電気機器・録音機・テレビ等,医薬品,光学機器・写真用機器・医療用機器,特殊取扱品（その他）,航空機・宇宙船・同部品,プラスチック・同製品,真珠・貴金属・宝石・装飾品,一般機械・原子炉・ボイラー等,自動車・同部品,鉱物燃料・エネルギー（原油・石炭等）,電気機器・録音機・テレビ等,特殊取扱品（その他）,医薬品,光学機器・写真用機器・医療用機器,プラスチック・同製品,航空機・宇宙船・同部品,アメリカ,15.7%,ドイツ,8.9%,オランダ,7.2%,アイルランド,6.7%,フランス,6.4%,ベルギー,4.7%,中国,4.5%,香港,2.8%,スペイン,2.7%,ポーランド,2.5%,2025,UN Comtrade / IMF DOTS (2025年)
タンザニア,TZA,真珠・貴金属・宝石・装飾品,果実・ナッツ,たばこ・製造たばこ代用品,食用の野菜・根菜,コーヒー・茶・スパイス,採油用種子・果実・藁,穀物,鉱石・スラグ・灰,鉱物燃料・エネルギー（原油・石炭等）,魚介類・甲殻類,鉱物燃料・エネルギー（原油・石炭等）,自動車・同部品,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,プラスチック・同製品,鉄鋼,鉄鋼製品,糖類・砂糖菓子,穀物,各種化学工業生産品,インド,26.0%,アラブ首長国連邦,8.3%,中国,7.3%,Kenya,5.6%,ベルギー,5.1%,"Congo, Democratic Republic of the",5.1%,ベトナム,4.9%,Uganda,4.7%,スイス,4.2%,ザンビア,2.9%,2024,UN Comtrade / IMF DOTS (2024年)
アメリカ,USA,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,航空機・宇宙船・同部品,自動車・同部品,真珠・貴金属・宝石・装飾品,光学機器・写真用機器・医療用機器,医薬品,プラスチック・同製品,特殊取扱品（その他）,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,自動車・同部品,鉱物燃料・エネルギー（原油・石炭等）,医薬品,特殊取扱品（その他）,光学機器・写真用機器・医療用機器,真珠・貴金属・宝石・装飾品,有機化学品,プラスチック・同製品,メキシコ,15.5%,カナダ,15.5%,中国,4.9%,イギリス,4.5%,オランダ,4.4%,ドイツ,3.8%,日本,3.8%,スイス,3.3%,韓国,3.2%,台湾,2.5%,2025,UN Comtrade / IMF DOTS (2025年)
ブルキナファソ,BFA,真珠・貴金属・宝石・装飾品,綿・綿織物,果実・ナッツ,採油用種子・果実・藁,塩・硫黄・土石類・セメント,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,動物性・植物性油脂,食用の野菜・根菜,自動車・同部品,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,自動車・同部品,医薬品,穀物,鉄鋼製品,塩・硫黄・土石類・セメント,鉄鋼,プラスチック・同製品,アラブ首長国連邦,51.0%,スイス,35.9%,ガーナ,2.9%,トーゴ,2.6%,オランダ,1.1%,インド,1.0%,シンガポール,0.8%,Mali,0.8%,Côte d'Ivoire,0.7%,フランス,0.5%,2024,UN Comtrade / IMF DOTS (2024年)
ウルグアイ,URY,肉・食用屑,木材・木製品・木炭,採油用種子・果実・藁,穀物,酪農品・鳥卵・蜂蜜,自動車・同部品,プラスチック・同製品,動物（生体）,穀粉・でん粉・麦芽,動物性・植物性油脂,鉱物燃料・エネルギー（原油・石炭等）,自動車・同部品,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,プラスチック・同製品,医薬品,肥料,各種化学工業生産品,肉・食用屑,家具・寝具・照明器具・プレハブ建築,中国,26.0%,ブラジル,16.5%,アメリカ,10.4%,トルコ,5.3%,アルゼンチン,4.9%,イスラエル,3.2%,オランダ,2.9%,アルジェリア,2.8%,スペイン,2.2%,メキシコ,2.1%,2024,UN Comtrade / IMF DOTS (2024年)
ウズベキスタン,UZB,真珠・貴金属・宝石・装飾品,綿・綿織物,鉱物燃料・エネルギー（原油・石炭等）,銅・同製品,特殊取扱品（その他）,果実・ナッツ,衣類・衣類付属品（編物）,食用の野菜・根菜,一般機械・原子炉・ボイラー等,自動車・同部品,一般機械・原子炉・ボイラー等,鉱物燃料・エネルギー（原油・石炭等）,電気機器・録音機・テレビ等,自動車・同部品,鉄鋼,医薬品,プラスチック・同製品,鉄鋼製品,木材・木製品・木炭,穀物,ロシア,27.0%,"Kazakhstan, Republic of",9.7%,"Afghanistan, Islamic Republic of",9.3%,トルコ,8.4%,中国,8.1%,フランス,7.3%,アラブ首長国連邦,4.0%,Kyrgyz Republic,4.0%,"Tajikistan, Republic of",3.1%,パキスタン,2.8%,2024,UN Comtrade / IMF DOTS (2024年)
サモア,WSM,鉱物燃料・エネルギー（原油・石炭等）,電気機器・録音機・テレビ等,動物性・植物性油脂,光学機器・写真用機器・医療用機器,食用の野菜・根菜,魚介類・甲殻類,飲料・アルコール・酢,野菜・果実等の調製品,酪農品・鳥卵・蜂蜜,鉄鋼,鉱物燃料・エネルギー（原油・石炭等）,肉・食用屑,自動車・同部品,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,酪農品・鳥卵・蜂蜜,穀物・粉製品・製菓,木材・木製品・木炭,プラスチック・同製品,鉄鋼製品,シンガポール,42.8%,アメリカ,27.1%,ニュージーランド,16.6%,オーストラリア,10.4%,"Fiji, Republic of",1.8%,American Samoa,1.3%,Tonga,0.1%,New Caledonia,0.0%,イギリス,0.0%,日本,0.0%,2024,UN Comtrade / IMF DOTS (2024年)
イエメン,YEM,魚介類・甲殻類,真珠・貴金属・宝石・装飾品,果実・ナッツ,食用の野菜・根菜,コーヒー・茶・スパイス,酪農品・鳥卵・蜂蜜,食品工業廃棄物・飼料,自動車・同部品,肉・魚介類の調製品,動物性・植物性油脂,穀物,鉱物燃料・エネルギー（原油・石炭等）,自動車・同部品,プラスチック・同製品,糖類・砂糖菓子,医薬品,肉・食用屑,酪農品・鳥卵・蜂蜜,穀物・粉製品・製菓,一般機械・原子炉・ボイラー等,Malawi,63.6%,トルコ,12.7%,"Egypt, Arab Republic of",11.2%,Côte d'Ivoire,4.4%,オマーン,3.0%,"Mozambique, Republic of",2.1%,イギリス,0.7%,インドネシア,0.6%,Luxembourg,0.4%,ナイジェリア,0.3%,2024,UN Comtrade / IMF DOTS (2024年)
ザンビア,ZMB,銅・同製品,鉱石・スラグ・灰,塩・硫黄・土石類・セメント,鉱物燃料・エネルギー（原油・石炭等）,真珠・貴金属・宝石・装飾品,たばこ・製造たばこ代用品,鉄鋼,無機化学品・貴金属化合物,飲料・アルコール・酢,食品工業廃棄物・飼料,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,自動車・同部品,肥料,プラスチック・同製品,電気機器・録音機・テレビ等,各種化学工業生産品,医薬品,鉄鋼製品,鉄鋼,スイス,43.4%,中国,22.0%,"Congo, Democratic Republic of the",11.3%,カナダ,5.3%,アラブ首長国連邦,3.9%,Zimbabwe,3.4%,"Tanzania, United Republic of",1.8%,Namibia,1.3%,インド,1.3%,Malawi,1.3%,2024,UN Comtrade / IMF DOTS (2024年)
ブータン,BTN,鉄鋼,塩・硫黄・土石類・セメント,飲料・アルコール・酢,光学機器・写真用機器・医療用機器,木材・木製品・木炭,無機化学品・貴金属化合物,すず・同製品,ガラス・同製品,野菜・果実等の調製品,各種調製食料品,一般機械・原子炉・ボイラー等,鉱物燃料・エネルギー（原油・石炭等）,電気機器・録音機・テレビ等,自動車・同部品,鉄鋼,鉄鋼製品,木材・木製品・木炭,穀物,プラスチック・同製品,動物性・植物性油脂,インド,91.1%,バングラデシュ,7.9%,Nepal,0.3%,オランダ,0.2%,韓国,0.1%,イタリア,0.1%,アメリカ,0.1%,ベトナム,0.0%,ナイジェリア,0.0%,日本,0.0%,2025,UN Comtrade / IMF DOTS (2025年)
フェロー諸島,FRO,魚介類・甲殻類,食品工業廃棄物・飼料,鉱物燃料・エネルギー（原油・石炭等）,動物性生産品（他非分類）,船舶・浮体構造物,自動車・同部品,ウォッディング・フェルト・不織布・紐,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,鉄鋼製品,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,食品工業廃棄物・飼料,船舶・浮体構造物,魚介類・甲殻類,自動車・同部品,電気機器・録音機・テレビ等,動物性・植物性油脂,鉄鋼製品,プラスチック・同製品,,,,,,,,,,,,,,,,,,,,,2025,UN Comtrade / IMF DOTS (2025年)
アンドラ,AND,自動車・同部品,電気機器・録音機・テレビ等,美術品・収集品・骨とう,光学機器・写真用機器・医療用機器,時計・同部品,紙・板紙・製品,一般機械・原子炉・ボイラー等,真珠・貴金属・宝石・装飾品,衣類・衣類付属品（織物）,履物・ゲートル同製品,自動車・同部品,鉱物燃料・エネルギー（原油・石炭等）,電気機器・録音機・テレビ等,精油・香料・化粧品,飲料・アルコール・酢,一般機械・原子炉・ボイラー等,衣類・衣類付属品（織物）,衣類・衣類付属品（編物）,家具・寝具・照明器具・プレハブ建築,医薬品,,,,,,,,,,,,,,,,,,,,,2023,UN Comtrade / IMF DOTS (2023年)
アラブ首長国連邦,ARE,鉱物燃料・エネルギー（原油・石炭等）,真珠・貴金属・宝石・装飾品,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,特殊取扱品（その他）,自動車・同部品,アルミニウム・同製品,プラスチック・同製品,たばこ・製造たばこ代用品,精油・香料・化粧品,真珠・貴金属・宝石・装飾品,特殊取扱品（その他）,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,自動車・同部品,鉱物燃料・エネルギー（原油・石炭等）,プラスチック・同製品,鉄鋼,医薬品,鉄鋼製品,インド,16.0%,スイス,10.9%,中国,8.6%,日本,8.1%,香港,7.9%,タイ,4.4%,シンガポール,3.8%,サウジアラビア,3.6%,イラン,3.5%,韓国,3.5%,2023,UN Comtrade / IMF DOTS (2023年)
ブルンジ,BDI,真珠・貴金属・宝石・装飾品,コーヒー・茶・スパイス,飲料・アルコール・酢,たばこ・製造たばこ代用品,穀粉・でん粉・麦芽,鉄鋼,ガラス・同製品,石けん・有機界面活性剤・ワックス,鉱物燃料・エネルギー（原油・石炭等）,鉱石・スラグ・灰,鉱物燃料・エネルギー（原油・石炭等）,肥料,自動車・同部品,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,鉄鋼,穀物,医薬品,塩・硫黄・土石類・セメント,プラスチック・同製品,"Tanzania, United Republic of",21.3%,スイス,16.5%,中国,14.9%,オマーン,11.2%,Rwanda,7.1%,Kenya,5.4%,パキスタン,4.6%,ドイツ,4.0%,"Congo, Democratic Republic of the",3.7%,イタリア,3.1%,2023,UN Comtrade / IMF DOTS (2023年)
バングラデシュ,BGD,衣類・衣類付属品（織物）,衣類・衣類付属品（編物）,他の紡織用繊維 of products (セット・古衣類),履物・ゲートル同製品,他の植物性紡織用繊維・紙糸,魚介類・甲殻類,鉱物燃料・エネルギー（原油・石炭等）,革製品・旅行用具・ハンドバッグ,一般機械・原子炉・ボイラー等,穀物・粉製品・製菓,綿・綿織物,一般機械・原子炉・ボイラー等,鉱物燃料・エネルギー（原油・石炭等）,電気機器・録音機・テレビ等,鉄鋼,動物性・植物性油脂,プラスチック・同製品,人造繊維の短繊維,人造繊維の長繊維,穀物,アメリカ,16.5%,イギリス,12.2%,ドイツ,11.6%,スペイン,7.8%,フランス,5.4%,オランダ,5.2%,ポーランド,4.7%,イタリア,3.5%,インド,3.2%,スウェーデン,2.9%,2018,UN Comtrade / IMF DOTS (2018年)
ベラルーシ,BLR,特殊取扱品（その他）,酪農品・鳥卵・蜂蜜,木材・木製品・木炭,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,鉄鋼,鉄鋼製品,家具・寝具・照明器具・プレハブ建築,プラスチック・同製品,肉・食用屑,特殊取扱品（その他）,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,鉄鋼,自動車・同部品,プラスチック・同製品,鉄鋼製品,医薬品,光学機器・写真用機器・医療用機器,紙・板紙・製品,ロシア,61.5%,中国,18.7%,アラブ首長国連邦,5.1%,"Kazakhstan, Republic of",2.8%,ポーランド,1.5%,"Uzbekistan, Republic of",1.1%,ウクライナ,1.0%,"Azerbaijan, Republic of",0.8%,イスラエル,0.5%,タイ,0.5%,2021,UN Comtrade / IMF DOTS (2021年)
ボツワナ,BWA,真珠・貴金属・宝石・装飾品,鉱石・スラグ・灰,電気機器・録音機・テレビ等,無機化学品・貴金属化合物,動物（生体）,一般機械・原子炉・ボイラー等,鉱物燃料・エネルギー（原油・石炭等）,プラスチック・同製品,自動車・同部品,塩・硫黄・土石類・セメント,鉱物燃料・エネルギー（原油・石炭等）,真珠・貴金属・宝石・装飾品,一般機械・原子炉・ボイラー等,自動車・同部品,電気機器・録音機・テレビ等,飲料・アルコール・酢,穀物,プラスチック・同製品,医薬品,鉄鋼製品,アラブ首長国連邦,39.9%,インド,13.2%,中国,12.8%,オーストラリア,11.2%,ベルギー,4.6%,Zimbabwe,4.2%,イスラエル,3.5%,Namibia,3.4%,スイス,1.3%,ザンビア,1.3%,2023,UN Comtrade / IMF DOTS (2023年)
カメルーン,CMR,鉱物燃料・エネルギー（原油・石炭等）,ココア・ココア調製品,木材・木製品・木炭,綿・綿織物,アルミニウム・同製品,石けん・有機界面活性剤・ワックス,各種調製食料品,果実・ナッツ,ゴム・同製品,コーヒー・茶・スパイス,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,穀物,自動車・同部品,電気機器・録音機・テレビ等,鉄鋼,魚介類・甲殻類,医薬品,プラスチック・同製品,塩・硫黄・土石類・セメント,オランダ,32.7%,フランス,9.6%,Chad,5.6%,ドイツ,5.3%,イタリア,5.2%,中国,4.9%,トルコ,4.4%,ベルギー,3.9%,インド,3.9%,バングラデシュ,3.7%,2023,UN Comtrade / IMF DOTS (2023年)
コンゴ民主共和国,COD,銅・同製品,無機化学品・貴金属化合物,鉱石・スラグ・灰,真珠・貴金属・宝石・装飾品,鉱物燃料・エネルギー（原油・石炭等）,ココア・ココア調製品,他の卑金属・サーメット,木材・木製品・木炭,亜鉛・同製品,コーヒー・茶・スパイス,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,塩・硫黄・土石類・セメント,鉄鋼製品,電気機器・録音機・テレビ等,自動車・同部品,プラスチック・同製品,無機化学品・貴金属化合物,鉄鋼,他の紡織用繊維 of products (セット・古衣類),中国,58.4%,"Mozambique, Republic of",12.4%,"Tanzania, United Republic of",9.4%,アラブ首長国連邦,8.1%,スイス,4.6%,ベトナム,3.1%,ザンビア,0.7%,ベルギー,0.6%,"Congo, Republic of",0.5%,インド,0.4%,2023,UN Comtrade / IMF DOTS (2023年)
コンゴ共和国,COG,鉱物燃料・エネルギー（原油・石炭等）,船舶・浮体構造物,木材・木製品・木炭,銅・同製品,塩・硫黄・土石類・セメント,一般機械・原子炉・ボイラー等,亜鉛・同製品,光学機器・写真用機器・医療用機器,電気機器・録音機・テレビ等,航空機・宇宙船・同部品,船舶・浮体構造物,一般機械・原子炉・ボイラー等,鉄鋼製品,肉・食用屑,電気機器・録音機・テレビ等,鉱物燃料・エネルギー（原油・石炭等）,各種化学工業生産品,自動車・同部品,魚介類・甲殻類,動物性・植物性油脂,中国,43.6%,インド,18.4%,オランダ,8.0%,カナダ,3.4%,フランス,3.0%,ナイジェリア,3.0%,スイス,2.9%,"Congo, Democratic Republic of the",2.4%,シンガポール,1.9%,マレーシア,1.7%,2023,UN Comtrade / IMF DOTS (2023年)
